Date,DutchRetailSales
2007-01-01,95.8159693282214
2007-04-01,107.351225204201
2007-07-01,101.950325054176
2007-10-01,111.618603100517
2008-01-01,99.3498916486081
2008-04-01,110.518419736623
2008-07-01,105.217536256043
2008-10-01,112.818803133856
2009-01-01,94.8491415235873
2009-04-01,104.684114019003
2009-07-01,99.1831971995333
2009-10-01,107.68461410235
2010-01-01,93.1821970328388
2010-04-01,104.017336222704
2010-07-01,100.450075012502
2010-10-01,108.451408568095
2011-01-01,94.4824137356226
2011-04-01,105.150858476413
2011-07-01,100.450075012502
2011-10-01,108.41806967828
2012-01-01,95.6492748791466
2012-04-01,102.950491748625
2012-07-01,99.0498416402734
2012-10-01,104.950825137523
2013-01-01,91.5485914319054
2013-04-01,100.250041673612
2013-07-01,96.5160860143357
2013-10-01,103.350558426404
